OFPST_FLOW reply (OF1.3) (xid=0x2):
 cookie=0x8000001, duration=308.361s, table=0, n_packets=120, n_bytes=11570, priority=5,in_port=3 actions=write_metadata:0x10000000001/0xfffff0000000001,goto_table:36
 cookie=0x8000000, duration=299.429s, table=0, n_packets=25, n_bytes=2394, priority=4,in_port=2,vlan_tci=0x0000/0x1fff actions=write_metadata:0x30000000000/0xffffff0000000001,goto_table:17
 cookie=0x8000001, duration=298.321s, table=17, n_packets=25, n_bytes=2394, priority=10,metadata=0x30000000000/0xffffff0000000000 actions=load:0x186a0->NXM_NX_REG3[0..24],write_metadata:0x9000030000030d40/0xfffffffffffffffe,goto_table:19
 cookie=0x8040000, duration=298.320s, table=17, n_packets=1, n_bytes=42, priority=10,metadata=0x9000030000000000/0xffffff0000000000 actions=load:0x3->NXM_NX_REG1[0..19],load:0x1389->NXM_NX_REG7[0..15],write_metadata:0xa000031389000000/0xfffffffffffffffe,goto_table:43
 cookie=0x8000000, duration=517.578s, table=17, n_packets=0, n_bytes=0, priority=0,metadata=0x8000000000000000/0xf000000000000000 actions=write_metadata:0x9000000000000000/0xf000000000000000,goto_table:80
 cookie=0x6800000, duration=517.578s, table=18, n_packets=0, n_bytes=0, priority=0 actions=goto_table:38
 cookie=0x8220015, duration=517.492s, table=19, n_packets=1, n_bytes=42, priority=100,arp,arp_op=1 actions=resubmit(,17)
 cookie=0x8220016, duration=517.492s, table=19, n_packets=0, n_bytes=0, priority=100,arp,arp_op=2 actions=resubmit(,17)
 cookie=0x8000009, duration=299.107s, table=19, n_packets=24, n_bytes=2352, priority=20,metadata=0x30d40/0xfffffe,dl_dst=b6:25:7d:ce:60:54 actions=goto_table:21
 cookie=0x1080000, duration=517.492s, table=19, n_packets=0, n_bytes=0, priority=0 actions=resubmit(,17)
 cookie=0x8000002, duration=298.885s, table=20, n_packets=0, n_bytes=0, priority=10,mpls,mpls_label=100003 actions=pop_mpls:0x0800,group:150001
 cookie=0x1030000, duration=517.492s, table=20, n_packets=0, n_bytes=0, priority=0 actions=goto_table:80
 cookie=0x8000003, duration=298.885s, table=21, n_packets=0, n_bytes=0, priority=42,ip,metadata=0x30d40/0xfffffe,nw_dst=10.11.1.3 actions=group:150001
